------------------------------------------------------
| Modo | Freq nat | alpha_i (Força) | c_i (Resposta) |
------------------------------------------------------
| 1    | 0.3803   | 6.022061e+01    | 6.386320e-01   |
| 2    | 0.6058   | -4.682757e+01   | -5.475923e-01  |
| 3    | 0.6058   | 5.029700e-04    | 5.881632e-06   |
| 4    | 0.8117   | 2.910266e-04    | 3.932863e-06   |
| 5    | 0.8121   | 2.398096e-09    | 3.242020e-11   |
| 6    | 0.8726   | 4.456075e+01    | 6.370782e-01   |
| 7    | 1.0085   | 1.064380e-01    | 1.778127e-03   |
| 8    | 1.0085   | 1.317157e-07    | 2.200412e-09   |
| 9    | 1.1088   | 2.556408e+01    | 4.966211e-01   |
| 10   | 1.1088   | -1.426991e-04   | -2.772149e-06  |
| 11   | 1.1981   | 1.433493e-10    | 3.307594e-12   |
| 12   | 1.2002   | -9.578350e-02   | -2.220103e-03  |
| 13   | 1.3297   | -5.517212e-04   | -1.825887e-05  |
| 14   | 1.3302   | -2.189893e-10   | -7.259430e-12  |
| 15   | 1.3672   | -3.003196e+01   | -1.145285e+00  |
| 16   | 1.3858   | -2.776700e-08   | -1.147104e-09  |
| 17   | 1.3858   | -3.321418e-02   | -1.372158e-03  |
| 18   | 1.5418   | 2.431927e-08    | 3.898221e-09   |
| 19   | 1.5418   | 7.549169e-02    | 1.210204e-02   |
| 20   | 1.5679   | -1.447190e-01   | -4.646436e-02  |
| 21   | 1.5708   | -2.913962e-10   | -1.050672e-10  |
| 22   | 1.6067   | 3.194066e-05    | 1.477135e-05   |
| 23   | 1.6067   | -1.761519e+01   | -8.145957e+00  |
| 24   | 1.7456   | -1.891767e-10   | -9.310081e-12  |
| 25   | 1.7484   | -3.184093e-02   | -1.537673e-03  |
| 26   | 1.7505   | -2.258558e-10   | -1.075644e-11  |
| 27   | 1.7507   | -1.177848e-02   | -5.604450e-04  |
| 28   | 1.8344   | -3.010495e-04   | -9.162310e-06  |
| 29   | 1.8345   | 2.225296e-10    | 6.768712e-12   |
| 30   | 1.8614   | -2.238848e+01   | -6.084442e-01  |
| 31   | 1.9283   | -8.500867e-11   | -1.816340e-12  |
| 32   | 1.9311   | 6.085982e-01    | 1.288424e-02   |
| 33   | 1.9475   | 1.489767e-02    | 2.995120e-04   |
| 34   | 1.9475   | -8.053513e-11   | -1.619035e-12  |
| 35   | 2.0538   | -4.032996e-10   | -6.062017e-12  |
| 36   | 2.0538   | -2.763475e-02   | -4.153734e-04  |
| 37   | 2.1017   | 8.925042e-06    | 1.199792e-07   |
| 38   | 2.1017   | -1.278441e+01   | -1.718589e-01  |
| 39   | 2.1078   | -4.134730e+00   | -5.483609e-02  |
| 40   | 2.1078   | -2.058797e-06   | -2.730396e-08  |
| 41   | 2.1420   | -1.390311e-01   | -1.713304e-03  |
| 42   | 2.1460   | 1.826628e-11    | 2.232739e-13   |
| 43   | 2.2651   | -1.309692e-10   | -1.277135e-12  |
| 44   | 2.2688   | 8.701074e-02    | 8.429202e-04   |
| 45   | 2.2820   | -1.731570e-11   | -1.639938e-13  |
| 46   | 2.2841   | 2.672285e-03    | 2.521916e-05   |
| 47   | 2.3334   | 1.757581e-10    | 1.529041e-12   |
| 48   | 2.3337   | 2.765121e-02    | 2.404127e-04   |
| 49   | 2.3373   | 6.511444e-01    | 5.628829e-03   |
| 50   | 2.3374   | -4.433699e-09   | -3.832470e-11  |
| 51   | 2.3545   | 1.778425e+01    | 1.496207e-01   |
| 52   | 2.4577   | 8.644532e-10    | 6.243392e-12   |
| 53   | 2.4577   | -2.202847e-01   | -1.590945e-03  |
| 54   | 2.4753   | -3.904832e-11   | -2.752140e-13  |
| 55   | 2.4753   | 3.779255e-02    | 2.663560e-04   |
| 56   | 2.5262   | -4.534195e-11   | -2.984345e-13  |
| 57   | 2.5299   | -6.760979e-02   | -4.428412e-04  |
| 58   | 2.5571   | 1.849892e-08    | 1.169714e-10   |
| 59   | 2.5571   | -1.659032e-01   | -1.049019e-03  |
| 60   | 2.5958   | 3.605376e-07    | 2.171833e-09   |
| 61   | 2.5958   | -1.085023e+01   | -6.535955e-02  |
| 62   | 2.6304   | 3.003742e-11    | 1.734730e-13   |
| 63   | 2.6325   | -9.875916e-02   | -5.688870e-04  |
| 64   | 2.6767   | 5.622797e-02    | 3.075084e-04   |
| 65   | 2.6816   | 2.958522e-11    | 1.608770e-13   |
| 66   | 2.7163   | -1.676173e-01   | -8.762180e-04  |
| 67   | 2.7164   | -1.729170e-08   | -9.039146e-11  |
| 68   | 2.7726   | -7.280065e-11   | -3.577639e-13  |
| 69   | 2.7773   | 2.750658e-01    | 1.344963e-03   |
| 70   | 2.8040   | 6.762104e-10    | 3.213916e-12   |
| 71   | 2.8040   | 2.210717e-01    | 1.050705e-03   |
| 72   | 2.8272   | -3.342646e-10   | -1.550745e-12  |
| 73   | 2.8297   | 9.847287e-03    | 4.556329e-05   |
| 74   | 2.8461   | 1.472959e+01    | 6.701973e-02   |
| 75   | 2.8797   | 2.287744e-09    | 1.006084e-11   |
| 76   | 2.8798   | -2.533327e-01   | -1.113993e-03  |
| 77   | 2.9017   | 2.290479e-11    | 9.856019e-14   |
| 78   | 2.9038   | 3.485843e-03    | 1.496814e-05   |
| 79   | 2.9732   | 2.175043e-02    | 8.735702e-05   |
| 80   | 2.9782   | -1.085678e-10   | -4.339854e-13  |
| 81   | 2.9878   | -7.615764e-09   | -3.016930e-11  |
| 82   | 2.9879   | -1.382370e-01   | -5.475994e-04  |
| 83   | 3.0546   | -5.018643e-01   | -1.870182e-03  |
| 84   | 3.0546   | -6.224497e-08   | -2.319521e-10  |
| 85   | 3.0751   | 8.221694e-10    | 3.008050e-12   |
| 86   | 3.0796   | -6.531001e-01   | -2.379947e-03  |
| 87   | 3.0846   | 3.764378e-09    | 1.365769e-11   |
| 88   | 3.0846   | 6.456657e+00    | 2.342488e-02   |
| 89   | 3.0897   | -6.346497e+00   | -2.292224e-02  |
| 90   | 3.0898   | -2.607318e-08   | -9.416383e-11  |
| 91   | 3.1465   | 3.079880e-01    | 1.058903e-03   |
| 92   | 3.1465   | 2.016788e-08    | 6.933921e-11   |
| 93   | 3.1939   | 3.770799e-02    | 1.245640e-04   |
| 94   | 3.1997   | -3.459055e-11   | -1.137118e-13  |
| 95   | 3.2678   | -8.728917e-01   | -2.714504e-03  |
| 96   | 3.2683   | 1.699983e-10    | 5.284292e-13   |
| 97   | 3.2719   | 1.061496e-10    | 3.290105e-13   |
| 98   | 3.2725   | -1.812093e-01   | -5.614088e-04  |
| 99   | 3.2734   | -1.983937e-09   | -6.142062e-12  |
| 100  | 3.2805   | 2.539334e-01    | 7.816719e-04   |
------------------------------------------------------
